"segment","users_in_segment","avg_orders_count","avg_order_cost"
"1 заказ",60452,1,3324.36
"2 - 5 заказов",1942,2,3072.65
"6 - 10 заказов",5,7,2769.57
"11 и более заказов",1,15,1244.80
