"region","total_users_region","orders_total_region","aov_region","installments_ratio","promo_ratio","cancel_ratio"
Москва,39386,40747,3140.14,0.48,0.037,0.0063
Санкт-Петербург,11978,12414,3593.46,0.55,0.042,0.0053
Новосибирская область,11044,11401,3491.79,0.54,0.037,0.0043
